accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-4.138155013904954577e-03,-2.975883953213668501e-03,-9.800785416140932682e+00
-4.676650248068656298e-04,-3.903279039240021338e-03,-9.794317258311210139e+00
9.714902080799895289e-04,-4.965676538024050256e-03,-9.791190032735105575e+00
1.472095712033999774e-03,-7.449341491144845337e-05,-9.791585398120648875e+00
-9.890112031738426939e-04,1.701771231635398600e-05,-9.800302547651794427e+00
8.503747137234226889e-04,-7.867727688114075843e-03,-9.796509359707908260e+00
-3.924065935704219854e-03,-1.777180121596616189e-03,-9.793258914632582801e+00
6.354513729279752908e-03,3.465948735469970027e-03,-9.789737717666133321e+00
-5.124293335931531107e-04,-3.806036650591535560e-03,-9.794034517686309727e+00
-6.556196178871048427e-04,5.108155983887616852e-03,-9.795885108358390880e+00
2.750237303832468727e-03,-5.509699599928530311e-03,-9.794643068412133502e+00
6.063046945418033677e-03,-7.393637435945041997e-03,-9.796178506022245713e+00
-7.861944292281883642e-03,-4.943099316122914581e-03,-9.805031286822023517e+00
6.788764457056372433e-04,-6.582911588423319069e-03,-9.806298587724805671e+00
-4.044518531925058238e-03,8.605049107637853523e-03,-9.791417653912947827e+00
-1.284273148809616811e-03,9.224183236372551688e-04,-9.796752331294827698e+00
3.288625655361404783e-03,4.171976575549282695e-03,-9.797528800881453392e+00
-7.652750357398799622e-04,-1.989724689887744161e-03,-9.793500608237550864e+00
5.015975729069263936e-03,-2.546278526994565083e-03,-9.793085984528245191e+00
-3.151524478042267829e-03,-7.629030940049632940e-03,-9.794534872981824236e+00
3.377788716595173449e-03,-4.913974541461882915e-05,-9.796239613690838510e+00
5.250276103486608073e-03,-3.470396479607913438e-03,-9.804216106093546657e+00
-9.527949334209809967e-04,-1.921510624696569835e-03,-9.795091149173805078e+00
7.845554794229657111e-03,-4.220823010024524029e-03,-9.795353998691163966e+00
-7.098857727911980775e-03,-7.753674556937343795e-03,-9.797211312580159870e+00
2.847439231874038853e-03,-5.514816546509043391e-03,-9.790753794161636492e+00
1.367351344779113402e-03,-5.981201588117981624e-03,-9.780308044877116913e+00
-1.202706668564813971e-03,-3.541735394496507792e-03,-9.788843473128231665e+00
-8.789182377738458118e-03,3.357297170207314361e-03,-9.797549420838262080e+00
1.094342750209367386e-03,3.860394358131719224e-03,-9.802489179747583492e+00
3.447703208754972822e-03,1.960565930218033295e-03,-9.786857609056090368e+00
-8.040740187962221522e-03,2.989778065362785724e-03,-9.790073812800732966e+00
-4.112788705362187557e-05,-4.063926238830887941e-04,-9.794245392466928379e+00
