# IMU数据（从gnss-ins-sim转换）
# 坐标系: NED（北-东-地）
# timestamp gyro_x gyro_y gyro_z accel_x accel_y accel_z
# 单位: s, rad/s, rad/s, rad/s, m/s^2, m/s^2, m/s^2
0.780000 -0.0004661301 0.0012405402 0.0003757319 0.0033777887 -0.0000491397 -9.7962396137
0.790000 0.0007404476 0.0001777115 0.0002826959 0.0052502761 -0.0034703965 -9.8042161061
0.800000 0.0009599353 -0.0000432287 0.0002825774 -0.0009527949 -0.0019215106 -9.7950911492
0.810000 -0.0002581176 -0.0000275044 -0.0006507863 0.0078455548 -0.0042208230 -9.7953539987
0.820000 -0.0000762420 0.0007216953 0.0011502193 -0.0070988577 -0.0077536746 -9.7972113126
0.830000 -0.0008232860 -0.0004335254 -0.0002471321 0.0028474392 -0.0055148165 -9.7907537942
0.840000 0.0008501500 0.0004408207 -0.0010844654 0.0013673513 -0.0059812016 -9.7803080449
0.850000 0.0002141251 -0.0003615874 -0.0004875102 -0.0012027067 -0.0035417354 -9.7888434731
0.860000 0.0008970154 -0.0010050016 -0.0006085043 -0.0087891824 0.0033572972 -9.7975494208
0.870000 -0.0000630617 0.0004144855 0.0002778327 0.0010943428 0.0038603944 -9.8024891797
0.880000 -0.0013586621 0.0001020384 -0.0000180130 0.0034477032 0.0019605659 -9.7868576091
0.890000 0.0003331232 -0.0003802645 -0.0001921320 -0.0080407402 0.0029897781 -9.7900738128
0.900000 0.0006475282 -0.0000066571 -0.0010511329 -0.0000411279 -0.0004063926 -9.7942453925
0.910000 0.0011588088 -0.0003926698 -0.0004192271 0.0028651405 -0.0011210322 -9.7947330730
0.920000 -0.0006367822 0.0000731418 0.0009394494 0.0054836833 0.0091915686 -9.7881869975
0.930000 -0.0006700814 -0.0003180474 -0.0002083499 0.0008274659 -0.0002469365 -9.7921717749
0.940000 0.0003639259 0.0001753099 0.0011951339 0.0012759080 -0.0031292305 -9.7887243423
0.950000 0.0000041596 -0.0015076129 -0.0000410821 -0.0112624357 -0.0035497293 -9.7892887082
0.960000 0.0008690515 -0.0004643361 0.0007571891 -0.0054684774 0.0013229972 -9.7977859604
0.970000 -0.0000976079 0.0007921515 -0.0013517438 0.0026259726 0.0047116237 -9.7973163600
0.980000 0.0001854572 0.0000691151 -0.0001421039 -0.0096168904 -0.0001733960 -9.7950235889
0.990000 0.0006373087 0.0006932581 -0.0018303580 -0.0012708031 0.0045077772 -9.7967080892
1.000000 -0.0000510973 0.0004410075 0.0001287745 0.0001139862 0.0012952909 -9.7935608039
1.010000 -0.0003460121 -0.0005366250 0.0001961657 -0.0064268238 -0.0027231425 -9.7961673314
1.020000 0.0004629339 -0.0005348313 0.0010188408 0.0018078966 -0.0005720934 -9.7956947579
1.030000 0.0002738005 -0.0008756189 -0.0001940140 0.0007326789 -0.0114047781 -9.7854464250
1.040000 -0.0008418890 -0.0004328283 0.0003126337 -0.0104752323 0.0043797534 -9.7991735565
1.050000 -0.0001324810 -0.0002694066 0.0003831443 0.0079016261 -0.0030919023 -9.7986426361
1.060000 -0.0017659639 0.0001066382 0.0006295653 -0.0032924395 0.0103458427 -9.7902456049
1.070000 -0.0007999906 -0.0007031547 0.0007129578 -0.0015779642 -0.0043079255 -9.7933311326
1.080000 -0.0007576698 -0.0008170655 0.0001888167 -0.0059077943 0.0140303085 -9.7967444955
1.090000 0.0000111209 0.0001386633 0.0000117993 -0.0049990708 -0.0021082807 -9.7901572962
1.100000 -0.0001416595 -0.0002126303 -0.0000453302 -0.0036742400 -0.0004120431 -9.8048054424
1.110000 -0.0009931447 -0.0011840808 -0.0008206113 0.0005289550 0.0056730550 -9.7958762112
1.120000 -0.0007327699 0.0005649868 0.0002114253 0.0034072665 0.0000489971 -9.7928068014
1.130000 0.0003959447 0.0004151205 -0.0006817909 0.0033654125 -0.0058291604 -9.7957411078
1.140000 -0.0000912695 0.0003064672 0.0006779555 -0.0039341246 0.0059306720 -9.7975645711
1.150000 -0.0002120165 -0.0011379076 0.0003248700 0.0004219914 -0.0024199852 -9.7975385790
1.160000 0.0011348913 0.0005819748 -0.0000063478 -0.0054295105 -0.0033878094 -9.7942788945
1.170000 -0.0003310091 0.0012241186 -0.0001897828 0.0044537053 0.0100748865 -9.7962527334
1.180000 -0.0007534620 0.0001634956 0.0014093542 0.0054166762 0.0099617537 -9.7846127724
1.190000 -0.0001242419 -0.0010123529 0.0013523379 -0.0036472007 0.0044842331 -9.7964626852
1.200000 0.0000974370 -0.0000971023 0.0006275851 0.0014427127 -0.0000474023 -9.7866222235
1.210000 -0.0006436952 0.0009933967 -0.0011229004 0.0012649845 -0.0035655275 -9.8038676119
1.220000 -0.0006029777 0.0000373766 0.0004367312 0.0085711553 0.0072632453 -9.7957311420
1.230000 -0.0003476401 0.0007840177 0.0000240521 0.0037388339 -0.0043348867 -9.8008381116
1.240000 0.0012050915 0.0005806536 -0.0012505201 -0.0008498311 0.0001029523 -9.7989635156
1.250000 -0.0017766333 0.0017127012 0.0000965599 0.0000249249 -0.0004906454 -9.7883456665
1.260000 0.0005582451 -0.0000396936 -0.0001297345 0.0059216328 0.0062223825 -9.7978940899
1.270000 0.0017001931 -0.0004556770 -0.0007117790 -0.0027851383 0.0033100894 -9.7916048636
1.280000 0.0002497318 -0.0011969249 0.0003650470 0.0007961971 0.0066005195 -9.7851721033
1.290000 -0.0004203220 -0.0001170248 0.0008493151 0.0032232605 0.0011508811 -9.8019701250
1.300000 0.0013733465 -0.0001488887 0.0000041969 0.0039216749 -0.0030793816 -9.7925071707
