accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.659271946285464529e-05,1.492113035216584955e-04,-9.794330246465772660e+00
2.604201220328910930e-04,-1.717855803947990778e-05,-9.794632920137921417e+00
-4.488093810985813680e-05,-3.747053174613906965e-05,-9.795181885366107011e+00
7.759607037834916532e-05,-2.051872339238980530e-05,-9.794500173037175017e+00
-8.927082293578328344e-05,-5.407832624292255563e-05,-9.794571897722191167e+00
1.858353561809929287e-04,3.836401264379353098e-05,-9.794645793272833245e+00
-1.121612489069732447e-05,-1.885073729493002431e-04,-9.794600609758372656e+00
1.326246544575309706e-04,-6.943564664761077182e-05,-9.794815889879259885e+00
4.000420340455596008e-05,3.696337212635645425e-05,-9.794557358011406478e+00
2.093548088919629750e-05,-1.254081585569261363e-04,-9.793731915718851155e+00
6.079596890468376246e-05,1.697178975508300744e-04,-9.794444709127162696e+00
-1.471505637221048564e-04,3.379767480318434758e-05,-9.794194226294912653e+00
1.202992662390828173e-04,-2.567040244466001133e-05,-9.794909621064446625e+00
9.072912303799869559e-06,-2.010115642547215774e-04,-9.795414792537677329e+00
2.087697286984581077e-04,-1.449674432447105982e-04,-9.795415646433077939e+00
-1.933590274571631536e-05,1.390408161796835411e-04,-9.794628903257578401e+00
-1.261952933426136348e-04,6.640910882920028407e-05,-9.795262513773783652e+00
1.578145823807981178e-04,-6.766838567585451033e-05,-9.794346974898195057e+00
1.303053029906059597e-04,2.390519134665944378e-04,-9.794646836172161031e+00
-6.246965994403237915e-05,1.091404327106491201e-04,-9.794585324300566498e+00
-2.508449156420105897e-05,4.735127066394843290e-04,-9.794611345694242743e+00
4.349499613404875611e-05,2.518094787904467030e-05,-9.794880767098142371e+00
-1.709200335869148215e-04,-3.772202515339911422e-05,-9.793891979275224813e+00
-8.788512231728573835e-05,-1.344258125065132536e-05,-9.795062518296647980e+00
-1.368431125791052627e-04,1.510901489131551004e-04,-9.794879958347872062e+00
4.602921679513048312e-04,9.281304535607228193e-06,-9.794672609141512609e+00
9.840845242955658441e-05,-4.938939279955398238e-05,-9.794315237507772665e+00
8.278198324203963222e-05,-1.172274526400369235e-04,-9.794107024191754718e+00
1.367190342737241752e-04,-2.995896921495650464e-04,-9.794603555365180014e+00
-1.451300692076399355e-05,2.271253912777734243e-04,-9.794101829527757985e+00
-1.056472486394408506e-04,-7.839094620865321838e-05,-9.794718460816499217e+00
-2.055748950273436149e-04,3.803459712573870489e-04,-9.793707279183340830e+00
4.898917631031662174e-05,-2.086877688374558476e-04,-9.794150181583187731e+00
