ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
-2.707444431115641724e+06,4.688687732598736882e+06,3.360102297215144616e+06,8.540054644863808164e+00,-5.202640354929418010e+00,0.000000000000000000e+00
-2.707443571064793039e+06,4.688687222445822321e+06,3.360102297215144616e+06,8.673315400205732217e+00,-4.977308506467535310e+00,0.000000000000000000e+00
-2.707442697954545729e+06,4.688686734981000423e+06,3.360102297215144616e+06,8.800633344216770126e+00,-4.748563229089402427e+00,0.000000000000000000e+00
-2.707441812383193057e+06,4.688686270538499579e+06,3.360102297215144616e+06,8.921920257326283021e+00,-4.516562733087065240e+00,0.000000000000000000e+00
-2.707440914957630914e+06,4.688685829436678439e+06,3.360102297215144616e+06,9.037092693295436518e+00,-4.281466530616143906e+00,0.000000000000000000e+00
-2.707440006292898674e+06,4.688685411977863871e+06,3.360102297215144616e+06,9.146071611027950965e+00,-4.043435925787448149e+00,0.000000000000000000e+00
-2.707439087011747528e+06,4.688685018448168412e+06,3.360102297215144616e+06,9.248782285942080961e+00,-3.802634116930523778e+00,0.000000000000000000e+00
-2.707438157744204625e+06,4.688684649117299356e+06,3.360102297215144616e+06,9.345154313351693887e+00,-3.559226160226997671e+00,0.000000000000000000e+00
-2.707437219127143733e+06,4.688684304238379002e+06,3.360102297215144616e+06,9.435121640734976722e+00,-3.313378883335636349e+00,0.000000000000000000e+00
-2.707436271803846117e+06,4.688683984047770500e+06,3.360102297215144616e+06,9.518622607676617164e+00,-3.065260780525465911e+00,0.000000000000000000e+00
-2.707435316423559096e+06,4.688683688764915802e+06,3.360102297215144616e+06,9.595599986356425859e+00,-2.815041900547230025e+00,0.000000000000000000e+00
-2.707434353641053196e+06,4.688683418592187576e+06,3.360102297215144616e+06,9.666001020183935921e+00,-2.562893731273914621e+00,0.000000000000000000e+00
-2.707433384116171394e+06,4.688683173714748584e+06,3.360102297215144616e+06,9.729777459761491443e+00,-2.308989082589437469e+00,0.000000000000000000e+00
-2.707432408513377421e+06,4.688682954300425947e+06,3.360102297215144616e+06,9.786885595888328737e+00,-2.053501968100726494e+00,0.000000000000000000e+00
-2.707431427501300815e+06,4.688682760499594733e+06,3.360102297215144616e+06,9.837286289495800418e+00,-1.796607485929502035e+00,0.000000000000000000e+00
-2.707430441752277780e+06,4.688682592445077375e+06,3.360102297215144616e+06,9.880944998464565643e+00,-1.538481698727053093e+00,0.000000000000000000e+00
-2.707429451941892505e+06,4.688682450252048671e+06,3.360102297215144616e+06,9.917831801295815097e+00,-1.279301513016145808e+00,0.000000000000000000e+00
-2.707428458748510573e+06,4.688682334017961286e+06,3.360102297215144616e+06,9.947921417617276774e+00,-1.019244557950395480e+00,0.000000000000000000e+00
-2.707427462852817960e+06,4.688682243822475895e+06,3.360102297215144616e+06,9.971193225508882207e+00,-7.584890635769043765e-01,0.000000000000000000e+00
-2.707426464937350713e+06,4.688682179727409035e+06,3.360102297215144616e+06,9.987631275635948214e+00,-4.972137386865589370e-01,0.000000000000000000e+00
-2.707425465686031617e+06,4.688682141776687466e+06,3.360102297215144616e+06,9.997224302180004685e+00,-2.355976483360981977e-01,0.000000000000000000e+00
-2.707424465783696622e+06,4.688682129996320233e+06,3.360102297215144616e+06,9.999965730559846833e+00,2.617990887416697665e-02,0.000000000000000000e+00
-2.707423465915628709e+06,4.688682144394381903e+06,3.360102297215144616e+06,9.995853681937397539e+00,2.879395236826054472e-01,0.000000000000000000e+00
-2.707422466767088510e+06,4.688682184961005114e+06,3.360102297215144616e+06,9.984890974505381323e+00,5.495017991244119937e-01,0.000000000000000000e+00
-2.707421469022841658e+06,4.688682251668386161e+06,3.360102297215144616e+06,9.967085121555873783e+00,8.106874734813260819e-01,0.000000000000000000e+00
-2.707420473366692662e+06,4.688682344470807351e+06,3.360102297215144616e+06,9.942448326331062347e+00,1.071317543138658790e+00,0.000000000000000000e+00
-2.707419480481014121e+06,4.688682463304667734e+06,3.360102297215144616e+06,9.910997473659760360e+00,1.331213385265430205e+00,0.000000000000000000e+00
-2.707418491046280600e+06,4.688682608088523149e+06,3.360102297215144616e+06,9.872754118385383748e+00,1.590196880233532450e+00,0.000000000000000000e+00
-2.707417505740601569e+06,4.688682778723147698e+06,3.360102297215144616e+06,9.827744470593337667e+00,1.848090533692029691e+00,0.000000000000000000e+00
-2.707416525239255279e+06,4.688682975091595203e+06,3.360102297215144616e+06,9.775999377647936583e+00,2.104717598212916485e+00,0.000000000000000000e+00
-2.707415550214229617e+06,4.688683197059284896e+06,3.360102297215144616e+06,9.717554303051162634e+00,2.359902194424978283e+00,0.000000000000000000e+00
-2.707414581333756912e+06,4.688683444474091753e+06,3.360102297215144616e+06,9.652449302137746656e+00,2.613469431552726263e+00,0.000000000000000000e+00
-2.707413619261860382e+06,4.688683717166449875e+06,3.360102297215144616e+06,9.580728994623246564e+00,2.865245527277799020e+00,0.000000000000000000e+00
-2.707412664657895453e+06,4.688684014949469827e+06,3.360102297215144616e+06,9.502442534023924026e+00,3.115057926840683500e+00,0.000000000000000000e+00
-2.707411718176099937e+06,4.688684337619065307e+06,3.360102297215144616e+06,9.417643573969378679e+00,3.362735421301126681e+00,0.000000000000000000e+00
-2.707410780465145595e+06,4.688684684954094701e+06,3.360102297215144616e+06,9.326390231431028965e+00,3.608108264876193072e+00,0.000000000000000000e+00
-2.707409852167692501e+06,4.688685056716512889e+06,3.360102297215144616e+06,9.228745046891642545e+00,3.851008291275542561e+00,0.000000000000000000e+00
-2.707408933919949457e+06,4.688685452651531436e+06,3.360102297215144616e+06,9.124774941483218882e+00,4.091269028954208409e+00,0.000000000000000000e+00
-2.707408026351237204e+06,4.688685872487796471e+06,3.360102297215144616e+06,9.014551171122581863e+00,4.328725815203878113e+00,0.000000000000000000e+00
-2.707407130083558615e+06,4.688686315937573090e+06,3.360102297215144616e+06,8.898149277676136393e+00,4.563215909004486370e+00,0.000000000000000000e+00
-2.707406245731170289e+06,4.688686782696943730e+06,3.360102297215144616e+06,8.775649037187246648e+00,4.794578602558782876e+00,0.000000000000000000e+00
