ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
-2.707016974755525589e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707016818755525164e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707016661755525041e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707016503755524755e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707016344755524769e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707016184755524620e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707016023755524307e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707015861755524296e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707015698755524121e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707015534755524248e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707015369755523745e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707015203755524009e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707015036755523644e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707014868755523581e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707014699755523819e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707014529755523428e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707014358755523339e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707014186755523551e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707014013755523600e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707013839755523484e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707013664755523205e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707013488755523227e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707013311755523086e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707013133755523246e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707012954755523242e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707012774755523074e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707012593755523209e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707012411755523179e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707012228755522985e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707012044755523093e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707011859755523037e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707011673755523283e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707011486755522899e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707011298755523283e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707011109755523037e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707010919755523093e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707010728755522985e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707010536755523179e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707010343755523209e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707010149755523074e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707009954755523242e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707009758755523246e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707009561755523086e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707009363755523227e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707009164755523205e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707008964755523019e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707008763755523134e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707008561755523086e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707008358755522873e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707008154755522963e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707007949755522888e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707007743755523115e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707007536755523179e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707007328755523078e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707007119755522814e+06,4.688711955664515495e+06,3.360431434122325853e+06
