ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
-2.707006909755522851e+06,4.688711955664515495e+06,3.360431434122325853e+06,2.110000000007719834e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.707004754755523056e+06,4.688711955664515495e+06,3.360431434122325853e+06,2.210000000002692389e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.707002499755523168e+06,4.688711955664515495e+06,3.360431434122325853e+06,2.310000000000939124e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.707000144755523186e+06,4.688711955664515495e+06,3.360431434122325853e+06,2.410000000000327702e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706997689755523112e+06,4.688711955664515495e+06,3.360431434122325853e+06,2.510000000000114539e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706995134755522944e+06,4.688711955664515495e+06,3.360431434122325853e+06,2.610000000000040643e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706992479755523149e+06,4.688711955664515495e+06,3.360431434122325853e+06,2.710000000000014708e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706989724755523261e+06,4.688711955664515495e+06,3.360431434122325853e+06,2.810000000000005826e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706986869755522814e+06,4.688711955664515495e+06,3.360431434122325853e+06,2.910000000000002629e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706983914755523205e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.010000000000000497e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706980859755523037e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.110000000000000142e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706977704755523242e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.210000000000001563e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706974449755522888e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.310000000000002984e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706971094755522907e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.410000000000004405e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706967639755522832e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.510000000000005826e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706964084755523130e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.610000000000007248e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706960429755522870e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.710000000000008669e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706956674755522981e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.810000000000010090e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706952819755523000e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.910000000000011511e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706948864755522925e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.010000000000012932e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706944809755523223e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.110000000000014353e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706940654755522963e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.210000000000015774e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706936399755523074e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.310000000000017195e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706932044755523093e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.410000000000018616e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706927589755523019e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.510000000000020037e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706923034755522851e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.610000000000021458e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706918379755523056e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.710000000000022879e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706913624755523168e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.810000000000024301e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706908769755523186e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.910000000000025722e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706903814755523112e+06,4.688711955664515495e+06,3.360431434122325853e+06,5.010000000000027143e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706898759755522944e+06,4.688711955664515495e+06,3.360431434122325853e+06,5.110000000000028564e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706893604755523149e+06,4.688711955664515495e+06,3.360431434122325853e+06,5.210000000000029985e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706888349755523261e+06,4.688711955664515495e+06,3.360431434122325853e+06,5.310000000000031406e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706882994755522814e+06,4.688711955664515495e+06,3.360431434122325853e+06,5.410000000000032827e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706877539755523205e+06,4.688711955664515495e+06,3.360431434122325853e+06,5.510000000000034248e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706871984755523037e+06,4.688711955664515495e+06,3.360431434122325853e+06,5.610000000000035669e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706866329755523242e+06,4.688711955664515495e+06,3.360431434122325853e+06,5.710000000000037090e+01,0.000000000000000000e+00,0.000000000000000000e+00
