ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
-2.706620679755522870e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.490000000000015490e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706616234755523037e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.390000000000014069e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706611889755522832e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.290000000000012648e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706607644755523186e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.190000000000011227e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706603499755523168e+06,4.688711955664515495e+06,3.360431434122325853e+06,4.090000000000009805e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706599454755523242e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.990000000000008384e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706595509755522944e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.890000000000006963e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706591664755523205e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.790000000000005542e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706587919755523093e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.690000000000004121e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706584274755523074e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.590000000000002700e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706580729755523149e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.490000000000001279e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706577284755522851e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.389999999999999858e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706573939755523112e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.289999999999998437e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706570694755523000e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.189999999999997016e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706567549755522981e+06,4.688711955664515495e+06,3.360431434122325853e+06,3.089999999999995595e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706564504755523056e+06,4.688711955664515495e+06,3.360431434122325853e+06,2.989999999999994174e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706561559755523223e+06,4.688711955664515495e+06,3.360431434122325853e+06,2.889999999999992752e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706558714755523019e+06,4.688711955664515495e+06,3.360431434122325853e+06,2.789999999999991331e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706555969755522907e+06,4.688711955664515495e+06,3.360431434122325853e+06,2.689999999999989910e+01,0.000000000000000000e+00,0.000000000000000000e+00
-2.706553324755522888e+06,4.688711955664515495e+06,3.360431434122325853e+06,2.589999999999988489e+01,0.000000000000000000e+00,0.000000000000000000e+00
