ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
9.189993144038673734e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.179993829634805991e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.169994446671324795e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.159995002004191633e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.149995501803772413e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.139995951623394888e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.129996356461055029e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.119996720814948787e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.109997048733453084e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.099997343860107435e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.089997609474096407e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.079997848526686255e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.069998063674017885e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.059998257306615699e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.049998431575953362e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.039998588418357883e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.029998729576522010e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.019998856618869354e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.009998970956982589e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.999999073861283705e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.989999166475155334e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.979999249827639574e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.969999324844874877e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.959999392360387560e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.949999453124348747e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.939999507811913304e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.929999557030721746e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.919999601327648975e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.909999641194883679e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.899999677075395255e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.889999709367855019e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.879999738431068579e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.869999764587961977e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.859999788129165665e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.849999809316248900e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.839999828384623015e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.829999845546160486e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.819999860991543983e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.809999874892389471e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.799999887403150467e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.789999898662834710e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.779999908796550301e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.769999917916895527e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.759999926125205150e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.749999933512684436e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.739999940161415282e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.729999946145272816e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.719999951530745363e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.709999956377670571e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.699999960739903315e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.689999964665912557e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.679999968199321358e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.669999971379388626e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.659999974241449650e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.649999976817304059e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.639999979135573938e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.629999981222016459e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.619999983099815211e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.609999984789833150e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.599999986310849920e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.589999987679765070e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.579999988911788478e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.569999990020609459e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.559999991018548826e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.549999991916693887e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.539999992725024924e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.529999993452521778e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.519999994107269004e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.509999994696542558e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.499999995226887961e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.489999995704198454e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.479999996133778950e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.469999996520401453e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.459999996868361904e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.449999997181525657e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.439999997463372949e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.429999997717035853e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.419999997945332382e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.409999998150799172e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.399999998335719908e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.389999998502148060e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.379999998651933879e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.369999998786740036e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.359999998908065777e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.349999999017259711e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.339999999115534024e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.329999999203980110e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.319999999283582781e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.309999999355224531e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.299999999419702590e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.289999999477731762e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.279999999529958643e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.269999999576963035e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.259999999619266475e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.249999999657339345e+01,0.000000000000000000e+00,0.000000000000000000e+00
