velocity_doppler_1,velocity_doppler_2,velocity_doppler_3,velocity_doppler_4,velocity_doppler_5,velocity_doppler_6,velocity_doppler_7,velocity_doppler_8
154.79940873966711,-59.25201156948753,-334.1547726531926,-80.46610157806018,-38.4519638690358,-364.85739416466464,-218.59948871974498,265.5985914407308
152.95759899414526,-58.31230731093192,-329.32582771757154,-79.10565405920562,-37.715895475515985,-359.90673322405576,-215.50607375703748,261.97100918024563
151.5505524482828,-56.78665963252701,-325.04234983466296,-77.78913298624806,-36.27826986603534,-354.64305795433677,-212.07754537503428,259.29623500717946
148.9839785522289,-56.102148823442796,-321.1375141541724,-76.59194072968816,-36.32199241334108,-349.94825779287254,-210.07512036314006,255.4936704755866
147.82003823394066,-55.61695233637427,-317.10779825226393,-76.4556369439886,-35.54914676592263,-346.53043850088295,-207.07715331694743,252.78897428113876
145.0285965599729,-56.3561351875003,-312.1860929479144,-77.28342196691483,-36.39754417368517,-342.3010530164078,-204.45337045601906,247.97216159983833
143.39126986519074,-53.654127075588114,-307.88895674695164,-73.91696180667687,-34.36903167207141,-335.8110411328737,-201.02148434299417,245.35006236468973
142.6161005019601,-52.35827214410431,-303.76273893722765,-72.68486103359457,-33.31820995570694,-331.7926923454262,-198.1333505178926,243.1465962498051
139.32752817842896,-52.420616765297126,-299.541047714665,-71.9096707787923,-33.71442650274696,-327.0373479174293,-195.92759366328124,238.64819673114891
136.79575552799946,-51.74790058732669,-295.2417618564502,-70.63935556409115,-33.55878850006286,-322.01676802872447,-193.40948307862934,234.8758114323944
135.40655990493028,-51.75618351323405,-290.8011489814877,-70.42019847724596,-33.15448619491614,-318.23105103249003,-190.7115387352542,231.69711530075233
134.1922655789839,-50.387916994581154,-286.2467548091282,-68.52704486638184,-31.722195759989166,-313.00072227947345,-187.5509909165978,228.8716104228349
131.8322095899105,-50.36033024970547,-281.74648065761636,-68.39200580472477,-31.826472627768926,-308.4249612994064,-185.07093782016736,224.76819953886408
129.14718685182427,-49.79268983723175,-278.78127977887334,-67.09156797470678,-32.21846098914703,-304.57840622602055,-183.69931619651354,221.55821861261688
128.0590179674264,-49.16174952786323,-273.8703719842095,-66.45601218019416,-31.108850841302804,-299.91328362590275,-179.8460247317281,218.503669432875
125.57471008617678,-47.79107964371273,-270.22847285977883,-64.44500361150804,-30.514848669397413,-294.9083504945893,-177.72622869579277,215.23104060611303
124.14008829802457,-46.5613455113427,-265.20697006332574,-63.342224220476226,-29.413999388902138,-289.88681048601586,-173.59884309119613,211.99658680661943
121.33554989630537,-46.687477583673605,-260.341546846395,-63.093659574461185,-29.69216194634054,-285.0892886726072,-170.57303257918457,207.52777562204042
119.15670422132598,-45.75454481077228,-256.3271271102344,-61.38478765119012,-28.802386599214127,-280.0886607674661,-167.83348636348106,204.44261761805518
116.65936371887139,-45.68277658535933,-252.12535615485712,-61.180508879348714,-28.94766300986232,-275.65156894165517,-165.30112512753695,200.4886385890749
115.16316286067648,-43.33353960325885,-248.77378599370417,-58.852069966250376,-27.287955745955305,-270.4929039445733,-162.3640026396396,198.37374928379356
113.13133291707089,-43.40449430115808,-244.2808201492756,-58.929016198553256,-27.413152186891455,-266.42246397003294,-159.67766349244405,194.5222947466925
111.07739321611226,-42.23688570513632,-239.74245561546752,-57.36597010732935,-26.544061963462976,-261.19718212974595,-156.4662357744481,191.05329214371187
109.41142933827771,-41.474237352473665,-235.91388326062835,-56.008890165320615,-26.060421666574996,-257.1951772242912,-153.76569793884045,188.27536407776978
106.4471151670992,-40.9121380948032,-232.13092935679975,-54.76425990623084,-26.179735161346343,-252.32115289072794,-151.81504713369407,184.2701924101457
104.06460324833263,-41.094024128872896,-226.58233349248243,-54.90377750330587,-26.52654531296867,-247.67376077166273,-148.95078787009578,179.66592676649498
102.30037488140115,-39.29974184118782,-223.62029755511517,-52.79614528988617,-25.373151318151645,-243.03511860064503,-146.69225300248831,177.3489699780119
100.74957149918434,-38.79709703764525,-218.10992674207733,-51.659809834631915,-24.526848951619428,-237.95289174662247,-142.7320398364677,173.49839301842556
