ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
-2.706909057755384129e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706908175755397882e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706907294755410403e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706906414755421691e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706905535755431745e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706904657755441032e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706903780755449086e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706902904755456373e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706902029755463358e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706901155755469110e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706900282755474560e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706899410755479243e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706898539755483624e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706897669755487703e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706896800755491015e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706895932755494490e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706895065755497199e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706894199755500071e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706893334755502176e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706892470755504444e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706891607755505946e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706890745755507611e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706889884755509440e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706889024755510502e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706888165755511727e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706887307755513117e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706886450755514205e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706885594755514991e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706884739755515940e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706883885755516589e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706883032755516935e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706882180755517911e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706881329755518120e+06,4.688711955664515495e+06,3.360431434122325853e+06
