mag_x (uT),mag_y (uT),mag_z (uT)
1.361224075693569802e+01,1.581659176751750984e+01,4.615311603066039936e+01
1.357186069074461265e+01,1.615622972132338830e+01,4.638981095850910918e+01
1.337979143544450089e+01,1.578614265894476709e+01,4.619637771089294631e+01
1.286668159815034329e+01,1.605356158264714850e+01,4.634484194575290417e+01
1.378766901830602620e+01,1.642263508950235362e+01,4.648289474230157481e+01
1.343265765391603495e+01,1.595943172770874163e+01,4.678109791283347363e+01
1.351440934691621720e+01,1.600445196423137872e+01,4.637144544051558626e+01
1.336954152554912589e+01,1.628492517411583052e+01,4.660313342018366711e+01
1.363055728079529061e+01,1.598366276185050872e+01,4.613642361973083439e+01
1.306255183276506138e+01,1.626707184665343675e+01,4.617184906027336666e+01
1.331432818642361937e+01,1.623279438333054259e+01,4.599538810783986520e+01
1.331509859787041528e+01,1.561604978210585948e+01,4.641884244319744823e+01
1.331032385022837694e+01,1.623451681305846250e+01,4.648275324364327332e+01
1.343213765859291975e+01,1.586435815515036474e+01,4.591580292256193019e+01
1.346547343659301887e+01,1.557205494387326716e+01,4.666486602545767681e+01
1.321418623110031909e+01,1.567677493668089994e+01,4.663812076407675988e+01
1.356474117589298878e+01,1.583584803586017031e+01,4.633861905793277458e+01
1.355309709576809851e+01,1.608297606382644673e+01,4.633842074224909169e+01
1.354096591559940421e+01,1.586757147254795441e+01,4.654241751950193162e+01
1.325915326791560211e+01,1.566131615119678955e+01,4.640138716979332401e+01
1.361371433077752613e+01,1.623952358631048654e+01,4.606019170055363787e+01
1.345647424758280586e+01,1.606601428861182868e+01,4.647247491489034843e+01
1.324743208788310511e+01,1.603585488863819108e+01,4.593630140522568439e+01
1.346236986314192130e+01,1.566866654541531823e+01,4.600540375670765059e+01
1.343918824310859605e+01,1.586412706414338558e+01,4.632968482907275387e+01
1.354820709788683430e+01,1.601708356837554703e+01,4.607970914391938777e+01
1.345109660782455308e+01,1.590770356999582269e+01,4.681832619183570188e+01
1.327071943926019060e+01,1.621582449809693927e+01,4.609589540085246995e+01
1.345951790028276385e+01,1.593855607844914601e+01,4.633837346079776864e+01
1.332085596881774769e+01,1.616850627795736628e+01,4.666347100626617106e+01
1.338457910311050370e+01,1.586315244221587051e+01,4.615596157544280231e+01
1.346432059350016530e+01,1.612427941464489933e+01,4.670365231023911434e+01
1.368864860812592710e+01,1.621762702132541634e+01,4.637479187102396594e+01
1.321603488632522883e+01,1.617130778404839475e+01,4.626434666799515583e+01
1.338894708562440883e+01,1.599991985468149380e+01,4.656008633781090111e+01
1.353771324338671711e+01,1.598351784237351225e+01,4.613175940817124143e+01
1.381461045650891606e+01,1.590121736731923541e+01,4.641181494212621317e+01
1.330154740576259265e+01,1.606603557460350018e+01,4.590475093581410704e+01
1.333628841019893940e+01,1.603616101745721423e+01,4.609775468808679477e+01
1.366143237678830857e+01,1.586553435462426975e+01,4.616970520005449430e+01
1.319951788261614745e+01,1.602682235871372285e+01,4.662715948844547142e+01
1.316151223086495570e+01,1.617671456238776528e+01,4.636261564394999368e+01
1.359311037369931086e+01,1.637259992177033041e+01,4.624150104904306602e+01
1.346622248033144054e+01,1.602018177842090552e+01,4.630996522517186520e+01
1.346197694183856974e+01,1.625657773635831305e+01,4.650551992714893856e+01
1.362889928701782338e+01,1.626610892388011465e+01,4.598717442776594311e+01
1.343210139071946685e+01,1.602695900348339464e+01,4.649610216050766809e+01
1.306605202538654176e+01,1.621638032628757031e+01,4.611933310612187853e+01
1.328750966053577187e+01,1.620184354027426465e+01,4.637629712427301598e+01
1.338460831358884384e+01,1.653653155464144930e+01,4.656891650581729891e+01
1.352859758477669061e+01,1.627470338150621032e+01,4.660210292536579146e+01
1.344755707271842127e+01,1.587440905469569863e+01,4.612368498646539905e+01
1.337195066051916825e+01,1.616542914748625037e+01,4.603180444841591168e+01
1.315833417994487320e+01,1.617004644802437952e+01,4.633913853658545179e+01
1.330161833584625697e+01,1.624208337290760440e+01,4.658462313624060869e+01
1.347951016043787931e+01,1.591934856135701537e+01,4.612553480167449749e+01
1.317995104409896889e+01,1.571739136557994421e+01,4.627089129746408247e+01
1.330183021515289532e+01,1.603482105890098808e+01,4.607038262070987855e+01
1.348691987887698041e+01,1.622555815554611058e+01,4.610422948114693042e+01
1.354837596230417773e+01,1.609673284280875549e+01,4.618265291925425942e+01
1.341086915597291274e+01,1.569463555995142023e+01,4.620039225884512746e+01
1.332314298916460338e+01,1.623003340061732658e+01,4.644090979400524333e+01
1.332542771960619454e+01,1.590982483134023440e+01,4.635467160468706993e+01
1.340307113453187249e+01,1.610176213994561678e+01,4.646306104177987351e+01
1.332262971347697800e+01,1.578406306036505136e+01,4.617865732558271219e+01
1.333600691568702779e+01,1.629413315739437706e+01,4.647430190319144572e+01
1.340053841413286584e+01,1.590709886632340719e+01,4.614391326083325851e+01
1.326141226711821197e+01,1.634407998895495240e+01,4.618684464259100508e+01
1.340048848225568356e+01,1.619332676381569058e+01,4.630887769793606168e+01
1.333951771131890673e+01,1.638538660784718104e+01,4.636433013070706721e+01
1.343824541948570150e+01,1.560481959348851788e+01,4.634207945945527030e+01
1.332456562360511576e+01,1.603084377907392266e+01,4.624127196637417114e+01
1.368106473081624941e+01,1.580811801412746576e+01,4.627830561633856377e+01
1.319109024309170408e+01,1.597376277866603544e+01,4.605821306082660271e+01
1.311960845189289593e+01,1.616004103691446403e+01,4.610459426919494774e+01
1.306996547391483432e+01,1.629495786885502184e+01,4.664812158208076198e+01
1.304301995597128716e+01,1.581790864123222029e+01,4.664950087572744764e+01
1.340547523332330471e+01,1.619671530472474075e+01,4.658529961430093635e+01
1.327117736917409019e+01,1.555620147200489889e+01,4.638738299562458423e+01
1.358666403919690957e+01,1.606709558195874266e+01,4.611100398522257393e+01
