ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
2.310908792232652331e+01,2.309699119882363050e+01,3.784753251734257873e+01
2.312057394146013323e+01,2.308549344627115474e+01,3.784753251734257873e+01
2.313694673255763945e+01,2.306908413732855578e+01,3.784753251734257873e+01
2.315770709702211505e+01,2.304824394718359670e+01,3.784753251734257873e+01
2.318240368326347678e+01,2.302340345184798664e+01,3.784753251734257873e+01
2.321062868856648009e+01,2.299494863925223953e+01,3.784753251734257873e+01
2.324201388742531194e+01,2.296322576418832639e+01,3.784753251734257873e+01
2.327622697475884195e+01,2.292854563333362705e+01,3.784753251734257873e+01
2.331296820933116365e+01,2.289118739408395342e+01,3.784753251734257873e+01
2.335196734078366632e+01,2.285140189037264591e+01,3.784753251734257873e+01
2.339298080264244817e+01,2.280941463973934447e+01,3.784753251734257873e+01
2.343578915327068302e+01,2.276542847837031047e+01,3.784753251734257873e+01
2.348019474681412788e+01,2.271962591443873336e+01,3.784753251734257873e+01
2.352601961660352359e+01,2.267217122464321477e+01,3.784753251734257873e+01
2.357310355412787928e+01,2.262321232421950157e+01,3.784753251734257873e+01
2.362130236749736767e+01,2.257288243675621331e+01,3.784753251734257873e+01
2.367048630421571076e+01,2.252130158677091387e+01,3.784753251734257873e+01
2.372053862403328495e+01,2.246857793510971035e+01,3.784753251734257873e+01
2.377135430862164256e+01,2.241480897474544776e+01,3.784753251734257873e+01
2.382283889577352198e+01,2.236008260240497947e+01,3.784753251734257873e+01
2.387490742677125510e+01,2.230447807960223017e+01,3.784753251734257873e+01
2.392748349647035155e+01,2.224806689504714186e+01,3.784753251734257873e+01
2.398049839650506243e+01,2.219091353900446961e+01,3.784753251734257873e+01
2.403389034283404868e+01,2.213307619896027489e+01,3.784753251734257873e+01
2.408760377960461341e+01,2.207460738489206520e+01,3.784753251734257873e+01
2.414158875202248922e+01,2.201555449150838228e+01,3.784753251734257873e+01
2.419580034157117510e+01,2.195596030400806242e+01,3.784753251734257873e+01
2.425019815753134722e+01,2.189586345319172267e+01,3.784753251734257873e+01
2.430474587930942931e+01,2.183529882512591058e+01,3.784753251734257873e+01
2.435941084459707184e+01,2.177429793000178648e+01,3.784753251734257873e+01
2.441416367885221916e+01,2.171288923433651874e+01,3.784753251734257873e+01
