accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-6.365035762096319868e-03,2.584991975444679735e+00,-9.796809307617953877e+00
-8.453002891905652891e-03,2.582931140234548728e+00,-9.794172226004226545e+00
8.433046602545169607e-03,2.586239562028012084e+00,-9.801225465484190380e+00
-5.527310120053242426e-04,2.586684733289530858e+00,-9.785251567868026967e+00
-1.199305080747210036e-03,2.595589296466651152e+00,-9.799673013109766018e+00
-7.705177135969254638e-03,2.596443274689708147e+00,-9.789975489832817956e+00
9.241611512668893719e-03,2.593054366500686214e+00,-9.799951751850478843e+00
5.717810935547533793e-03,2.607087828438601651e+00,-9.800635289985736520e+00
5.096229899727127734e-03,2.603409115304558430e+00,-9.804182861521708148e+00
-9.127315325323121517e-04,2.613084713765175149e+00,-9.790202251731324523e+00
-3.100789390886299953e-03,2.603161443960708255e+00,-9.801071905269632012e+00
5.741760121614132226e-03,2.600634316938946977e+00,-9.783970310399803694e+00
3.013162784968224320e-03,2.597713979551709684e+00,-9.799703037207834200e+00
-2.165325921693727913e-03,2.614249104858298089e+00,-9.811359807038554592e+00
-1.867673329364770733e-03,2.611045898847292435e+00,-9.805864743154605989e+00
5.489337250071473460e-03,2.621187360748321371e+00,-9.798543695724776015e+00
9.267875955295195450e-03,2.621758673881462887e+00,-9.796794542515826265e+00
5.215630317457067107e-04,2.609474638940048052e+00,-9.790026539460745525e+00
3.871636331316684939e-03,2.622422011038695988e+00,-9.777369678560875244e+00
1.358941794791316540e-03,2.616651342937490465e+00,-9.802496981167982071e+00
1.126661711111633102e-02,2.613383722599453396e+00,-9.795475796019534442e+00
4.245483347250736395e-03,2.614029795273685952e+00,-9.791314170784326976e+00
-2.457695152059147150e-03,2.600300002174454228e+00,-9.804196086876736160e+00
-1.073769562266586831e-03,2.615858734344182590e+00,-9.786973752243062208e+00
-5.110041134378636753e-03,2.618265531470133300e+00,-9.803820081019535948e+00
-1.608893618608907283e-02,2.601484124692572397e+00,-9.797262598301076153e+00
1.248535430646153122e-03,2.616822513993389610e+00,-9.781739898853736292e+00
-9.570384755464619170e-04,2.620160779331539125e+00,-9.799209456589970557e+00
-5.673767288940228214e-03,2.612437840547501278e+00,-9.781354376499921344e+00
1.689323169531434634e-03,2.613933174534308179e+00,-9.798678023293831529e+00
-5.615352488063708042e-03,2.606744161853828512e+00,-9.798317644825614181e+00
-1.003427041186222930e-03,2.621840961753416632e+00,-9.803162311252798133e+00
-7.494566468870876401e-04,2.611781893971294455e+00,-9.806669333176495584e+00
-2.999959438971732187e-03,2.618255422084150297e+00,-9.787502083048272183e+00
-5.107496417973016872e-03,2.611748604340189850e+00,-9.788695777176416257e+00
-3.420403398660527578e-03,2.613213779964412620e+00,-9.787295496047708099e+00
-3.163991910657784970e-03,2.615793137558536596e+00,-9.798237219850108204e+00
-5.102910488212369401e-03,2.612952128819856501e+00,-9.789966793771343490e+00
-2.434264920214622169e-03,2.622294796130833827e+00,-9.789315857271652987e+00
-6.766229881891081335e-03,2.613557389583371027e+00,-9.792442995764449876e+00
-3.193931971343567759e-03,2.614331483188204963e+00,-9.790233407388482689e+00
-5.194978202719999910e-03,2.619911705063360241e+00,-9.789707794451524947e+00
-1.478377391323460518e-03,2.620336002020458910e+00,-9.810141663430901104e+00
-5.987542934491969261e-03,2.609304204205117994e+00,-9.806856167662914459e+00
-1.062395627222847624e-02,2.616756392286438970e+00,-9.797381999406368891e+00
-1.003966129554097371e-02,2.615880900820698685e+00,-9.795678950251639705e+00
1.072315695864472064e-03,2.615602101860766915e+00,-9.790296778590839466e+00
