# IMU数据（从gnss-ins-sim转换）
# 坐标系: NED（北-东-地）
# timestamp gyro_x gyro_y gyro_z accel_x accel_y accel_z
# 单位: s, rad/s, rad/s, rad/s, m/s^2, m/s^2, m/s^2
35.280000 0.0129603954 -0.0021315356 -0.0099952883 4.3123598295 -2.5069192102 -8.8672669980
35.290000 0.0208734209 -0.0027747257 -0.0047400485 4.2881267354 -2.5637784322 -8.8771098458
35.300000 -0.0041802938 -0.0147693404 0.0040178132 4.3277441697 -2.5845367556 -8.9708143543
35.310000 0.0023833388 -0.0069400045 -0.0077278340 4.3567722581 -2.5540340837 -8.8463025682
35.320000 0.0075545863 -0.0014867436 -0.0141761412 4.4062335613 -2.5017570653 -8.9031909349
35.330000 0.0106449736 -0.0012390604 -0.0092262338 4.3398865644 -2.6232819556 -8.8245226325
35.340000 0.0112761892 0.0023972623 -0.0086422443 4.3132473408 -2.5887233025 -8.8612092011
35.350000 -0.0114832734 -0.0026643741 -0.0120918702 4.3436819866 -2.5535833156 -8.8790264860
35.360000 0.0131534540 0.0053298981 0.0020180829 4.4090023549 -2.4861813026 -8.8372592402
35.370000 -0.0001286389 -0.0024919782 -0.0067437177 4.3598483251 -2.5475047326 -8.8459495173
35.380000 0.0050319527 0.0103080346 -0.0085883648 4.3566423571 -2.5820953688 -8.9632369399
35.390000 0.0132811874 0.0027762947 -0.0114453656 4.3287203872 -2.4683146946 -8.9193290559
35.400000 0.0026381349 0.0019135075 -0.0114525262 4.3862889041 -2.5556139001 -8.9386779752
35.410000 0.0001883925 0.0038518633 -0.0081409370 4.3081074416 -2.5754105644 -8.8873698685
35.420000 0.0011762456 0.0077012461 -0.0102200926 4.3072397722 -2.4848651324 -8.9050701989
35.430000 0.0097430119 0.0073348959 -0.0161508370 4.2883358385 -2.5470085399 -8.9194899925
35.440000 0.0097622040 0.0061429601 -0.0171127565 4.3718147653 -2.5601141672 -8.8309224940
35.450000 0.0113334045 0.0038912998 -0.0075792098 4.2881535534 -2.5668053530 -8.9397204121
35.460000 0.0166296906 0.0060653936 -0.0006738593 4.3722243838 -2.6029057108 -9.0720837573
35.470000 0.0145945967 -0.0183139226 -0.0066748715 4.3329837943 -2.5712457581 -8.8890576167
35.480000 0.0066890341 0.0047392480 -0.0118915681 4.3583210619 -2.5170772416 -8.9046303844
35.490000 0.0133597800 -0.0124769673 0.0032274761 4.3227794662 -2.5491125069 -8.8852067315
35.500000 0.0032529723 -0.0046453846 -0.0082942081 4.3155969613 -2.4105353473 -8.8952839376
35.510000 0.0069973282 0.0059940234 -0.0029020749 4.3288247378 -2.4905535417 -8.9215393650
35.520000 0.0122647429 0.0067620228 -0.0013409116 4.3194244595 -2.5442407294 -8.8972986453
35.530000 0.0136209514 0.0021808508 -0.0115277061 4.3333022162 -2.5243903230 -8.9497580353
35.540000 0.0150904910 -0.0012464511 0.0026880731 4.4055830319 -2.5610957810 -8.8271012138
35.550000 0.0055628497 -0.0045315896 -0.0078474782 4.3032180754 -2.5240275175 -8.9659525639
35.560000 0.0051394694 -0.0001164319 -0.0143383032 4.2832857379 -2.5359055061 -8.8746112693
35.570000 0.0099606725 0.0115327459 0.0069004273 4.2842780506 -2.5348779041 -9.0027501149
35.580000 -0.0028480246 0.0078242685 -0.0070353978 4.3580306971 -2.4969981293 -8.9629939683
35.590000 0.0025533804 -0.0024060643 -0.0068466695 4.3221842353 -2.5112250737 -8.9544817977
35.600000 0.0061827193 0.0042454887 -0.0139081404 4.3344857387 -2.5147691042 -8.7951952406
35.610000 0.0083651714 0.0043848819 -0.0042154969 4.3409774569 -2.5107851776 -8.9272622740
35.620000 0.0216028805 -0.0073551020 -0.0120787906 4.2401590368 -2.5536329673 -8.8367973347
35.630000 0.0191646960 0.0022061839 -0.0066694904 4.3629401232 -2.5225322223 -8.9882149379
35.640000 0.0208983056 -0.0003575490 -0.0102265850 4.2752174781 -2.5662360445 -8.9678472102
35.650000 0.0208962301 -0.0033265747 -0.0043533846 4.3096801517 -2.4107334637 -8.8831094201
35.660000 0.0115957425 -0.0041940005 -0.0026334469 4.3397619352 -2.5697664007 -8.9063258926
35.670000 0.0041898940 0.0017806508 -0.0119955832 4.2710836966 -2.4807163677 -8.9516753944
35.680000 0.0146777844 0.0017816238 -0.0127813180 4.3140172575 -2.5694091751 -8.9062811578
35.690000 0.0139866907 0.0020015515 -0.0010136849 4.3785923695 -2.4565842102 -8.8309316822
35.700000 0.0065739504 0.0060935497 -0.0080163376 4.3612104516 -2.4672125534 -8.8339470918
35.710000 0.0138771937 -0.0088210506 -0.0069262609 4.3346817174 -2.5546295281 -8.8523429994
35.720000 0.0162003330 0.0081972403 -0.0017391501 4.4543210929 -2.5159992136 -8.8652959463
