# 参考真值数据
# timestamp pos_x pos_y pos_z vel_x vel_y vel_z roll pitch yaw
# 单位: s, m, m, m, m/s, m/s, m/s, rad, rad, rad
201.460000 -2706997.101602 4689436.521024 3359842.530880 25.631728 21.743555 -2.868300 46.2612711024 0.6238872381 -0.5920295262
201.470000 -2706996.845285 4689436.738459 3359842.502197 25.648393 21.741264 -2.856585 46.2546503050 0.6206122633 -0.5889217823
201.480000 -2706996.588801 4689436.955872 3359842.473631 25.665045 21.738982 -2.844878 46.2480642622 0.6173544799 -0.5858303520
201.490000 -2706996.332151 4689437.173262 3359842.445182 25.681684 21.736709 -2.833181 46.2415127915 0.6141137976 -0.5827551494
201.500000 -2706996.075334 4689437.390629 3359842.416850 25.698309 21.734445 -2.821493 46.2349957115 0.6108901267 -0.5796960896
201.510000 -2706995.818351 4689437.607973 3359842.388636 25.714921 21.732190 -2.809813 46.2285128417 0.6076833777 -0.5766530877
201.520000 -2706995.561202 4689437.825295 3359842.360537 25.731519 21.729945 -2.798142 46.2220640024 0.6044934620 -0.5736260594
201.530000 -2706995.303886 4689438.042595 3359842.332556 25.748105 21.727709 -2.786480 46.2156490150 0.6013202911 -0.5706149210
201.540000 -2706995.046405 4689438.259872 3359842.304691 25.764677 21.725481 -2.774826 46.2092677019 0.5981637771 -0.5676195889
201.550000 -2706994.788759 4689438.477127 3359842.276943 25.781237 21.723263 -2.763181 46.2029198862 0.5950238327 -0.5646399802
201.560000 -2706994.530946 4689438.694359 3359842.249311 25.797783 21.721054 -2.751545 46.1966053922 0.5919003708 -0.5616760124
201.570000 -2706994.272968 4689438.911570 3359842.221796 25.814317 21.718853 -2.739917 46.1903240448 0.5887933049 -0.5587276034
201.580000 -2706994.014825 4689439.128758 3359842.194397 25.830838 21.716662 -2.728298 46.1840756702 0.5857025489 -0.5557946715
201.590000 -2706993.756517 4689439.345925 3359842.167114 25.847346 21.714480 -2.716687 46.1778600952 0.5826280173 -0.5528771354
201.600000 -2706993.498043 4689439.563070 3359842.139947 25.863841 21.712306 -2.705085 46.1716771477 0.5795696248 -0.5499749144
